ID,Scored,Area,Item,Deficiency,Criteria,H&S,Correction Timeframe,HCV Pass/Fail,HCV Correction Timeframe,Inspection Process - Observation,Inspection Process - Request for Help,Inspection Process - Action,Inspection Process - More Information,Tools or Equipment - Required,Tools or Equipment - Useful
8.2.2.3.0,,Inside,Clothes Dryer Exhaust Ventilation,Electric dryer transition duct is detached or missing.,"Electric dryer transition duct is detached or missing (i.e., evidence of prior installation, but is now not present or is incomplete).",Life-Threatening,24 hours,Fail,24 hours,"1. Look behind the clothes dryer and attempt to locate the dryer transition duct.  
2. Visually observe if the dryer transition duct is securely attached. 
3. If unable to locate the dryer transition duct, look behind the clothes dryer and observe if there is an accumulation of dryer lint, which indicates that the dryer transition duct may be detached or missing.  ","1. If the laundry facility is locked, request access from the resident or POA. 
2. If the dryer transition duct is concealed and reasonably accessible, request access from the POA.",NONE,NONE,Flashlight,Inspection mirror
8.1.3.3.0,,Unit,Clothes Dryer Exhaust Ventilation,Gas dryer transition duct is detached or missing.,"Gas dryer transition duct is detached or missing (i.e., evidence of prior installation, but is now not present or is incomplete).",Life-Threatening,24 hours,Fail,24 hours,"1. Look behind the clothes dryer and attempt to locate the dryer transition duct.  
2. Visually observe if the dryer transition duct is securely attached. 
3. If unable to locate the dryer transition duct, look behind the clothes dryer and observe if there is an accumulation of dryer lint, which indicates that the dryer transition duct may be detached or missing.",NONE,NONE,"1. Misaligned ducting should be considered detached and evaluated under this deficiency. 
2. A heat recovery device should be considered a deficiency under this standard.",Flashlight; Inspection mirror,NONE
8.2.4.3.0,,Inside,Clothes Dryer Exhaust Ventilation,Gas dryer transition duct is detached or missing.,"Gas dryer transition duct is detached or missing (i.e., evidence of prior installation, but is now not present or is incomplete). ",Life-Threatening,24 hours,Fail,24 hours,"1. Look behind the clothes dryer and attempt to locate the dryer transition duct.  
2. Visually observe if the dryer transition duct is securely attached. 
3. If unable to locate the dryer transition duct, look behind the clothes dryer and observe if there is an accumulation of dryer lint, which indicates that the dryer transition duct may be detached or missing.","1. If the laundry facility is locked, request access from the resident or POA. 
2. If the dryer transition duct is concealed and reasonably accessible, request access from the POA.",NONE,"1. Misaligned ducting should be considered detached and evaluated under this deficiency. 
2. A heat recovery device should be considered a deficiency under this standard",Flashlight; Inspection mirror,NONE
8.1.5.3.0,,Unit,Clothes Dryer Exhaust Ventilation,Electric dryer exhaust ventilation system has restricted airflow.,Electric dryer exhaust ventilation system is blocked or damaged such that airflow may be restricted.,Life-Threatening,24 hours,Fail,24 hours,"1. Look at the exhaust ventilation system and identify the flexible duct line.  
2. Look at the entire duct line that runs from the back of the dryer.  
3. Look for crushed pipe or any unintentional kinks in the duct line.  ",NONE,NONE,"1. Improvised filter materials (e.g., stockings, t-shirts, etc.) attached to the duct line are considered a blockage and should be recorded as a deficiency.",Flashlight,Inspection mirror
8.2.6.3.0,,Inside,Clothes Dryer Exhaust Ventilation,Electric dryer exhaust ventilation system has restricted airflow.,Electric dryer exhaust ventilation system is blocked or damaged such that airflow may be restricted.,Life-Threatening,24 hours,Fail,24 hours,"1. Look at the exhaust ventilation system and identify the flexible duct line.  
2. Look at the entire duct line that runs from the back of the dryer.  
3. Look for crushed pipe or any unintentional kinks in the duct line.  ","1. If the laundry facility is locked, request access from the resident or POA. 
2. If the exhaust ventilation system is concealed and reasonably accessible, request access from the POA.",NONE,"1. Improvised filter materials (e.g., stockings, t-shirts, etc.) attached to the duct line are considered a blockage and should be recorded as a deficiency.",Flashlight,Inspection mirror
8.3.7.3.0,,Outside,Clothes Dryer Exhaust Ventilation,Electric dryer exhaust ventilation system has restricted airflow.,Electric dryer exhaust ventilation system is blocked or damaged such that airflow may be restricted.,Life-Threatening,24 hours,Fail,24 hours,"1. Look at the dryer exhaust ventilation system (e.g., external vent, damp), as applicable, to identify any blockages.  ",NONE,NONE,"1. Improvised filter materials (e.g., stockings, t-shirts, etc.) attached to the duct line are considered a blockage and should be recorded as a deficiency.",Flashlight,Inspection mirror
8.3.8.3.0,,Outside,Clothes Dryer Exhaust Ventilation,"Exterior dryer vent cover, cap, or a component thereof is missing.","Exterior dryer vent cover, cap, or a component thereof is missing (i.e., evidence of prior installation, but now not present or is incomplete).",Low,60 days,Pass,N/A,"1. Look at the exterior of the building to identify the location where the dryer ventilation system terminates.
2. Determine if the exterior dryer vent cover, cap, or any component thereof is missing.",NONE,NONE,NONE,NONE,Flashlight; Inspection mirror
8.1.9.3.0,,Unit,Clothes Dryer Exhaust Ventilation,Dryer transition duct is constructed of unsuitable material.,Dryer transition duct is not constructed of metal or an approved material.,Life-Threatening,24 hours,Fail,24 hours,1. Look at the dryer transition duct and determine if it is constructed of metal or an approved material.,NONE,NONE,NONE,NONE,Flashlight
8.2.10.3.0,,Inside,Clothes Dryer Exhaust Ventilation,Dryer transition duct is constructed of unsuitable material.,Dryer transition duct is not constructed of metal or an approved material.,Life-Threatening,24 hours,Fail,24 hours,1. Look at the gas dryer vent and determine if it is constructed of metal.,"1. If the laundry facility is locked, request access from the resident or POA. 
2. If the dryer transition duct is concealed and reasonably accessible, request access from the POA.",NONE,NONE,NONE,Flashlight
8.1.11.3.0,,Unit,Clothes Dryer Exhaust Ventilation,Gas dryer exhaust ventilation system has restricted airflow.,Gas dryer exhaust ventilation system is blocked or damaged such that airflow may be restricted.,Life-Threatening,24 hours,Fail,24 hours,"1. Look at the exhaust ventilation system and identify the flexible duct line.  
2. Look at the entire duct line that runs from the back of the dryer.  
3. Look for crushed pipe or any unintentional kinks in the duct line.  ",NONE,NONE,"1. Improvised filter materials (e.g., stockings, t-shirts, etc.) attached to the duct line are considered a blockage and should be recorded as a deficiency.",NONE,NONE
8.2.12.3.0,,Inside,Clothes Dryer Exhaust Ventilation,Gas dryer exhaust ventilation system has restricted airflow.,Gas dryer exhaust ventilation system is blocked or damaged such that airflow may be restricted.,Life-Threatening,24 hours,Fail,24 hours,"1. Look at the exhaust ventilation system and identify the flexible duct line.  
2. Look at the entire duct line that runs from the back of the dryer.  
3. Look for crushed pipe or any unintentional kinks in the duct line.","1. If the laundry facility is locked, request access from the resident or POA. 
2. If the exhaust ventilation system is concealed and reasonably accessible, request access from the POA.",NONE,"1. Improvised filter materials (e.g., stockings, t-shirts, etc.) attached to the duct line are considered a blockage and should be recorded as a deficiency.",NONE,NONE
